datetimeLocal,CO,NO2,O3,PM10,PM2.5,SO2,hour,day,month,day_of_week,crop_burning,winter_inversion,diwali
2021-07-12 04:00:00+05:30,574.869109947644,8.6,2.642931937172775,11.0,34.973821989528794,2.512565445026178,4,12,7,0,0,0,0
2021-07-12 05:00:00+05:30,574.3455497382199,8.6,2.6646596858638745,11.0,34.86910994764398,2.51282722513089,5,12,7,0,0,0,0
2021-07-12 06:00:00+05:30,573.8219895287958,8.6,2.686387434554974,11.0,34.76439790575916,2.513089005235602,6,12,7,0,0,0,0
2021-07-12 07:00:00+05:30,573.2984293193717,8.6,2.7081151832460737,11.0,34.659685863874344,2.513350785340314,7,12,7,0,0,0,0
2021-07-12 08:00:00+05:30,572.7748691099476,8.6,2.7298429319371733,11.0,34.55497382198953,2.513612565445026,8,12,7,0,0,0,0
2021-07-12 09:00:00+05:30,572.2513089005236,8.6,2.7515706806282725,11.0,34.45026178010471,2.513874345549738,9,12,7,0,0,0,0
2021-07-12 10:00:00+05:30,571.7277486910995,8.6,2.773298429319372,11.0,34.345549738219894,2.51413612565445,10,12,7,0,0,0,0
2021-07-12 11:00:00+05:30,571.2041884816754,8.6,2.7950261780104717,11.0,34.24083769633508,2.514397905759162,11,12,7,0,0,0,0
2021-07-12 12:00:00+05:30,570.6806282722513,8.6,2.816753926701571,11.0,34.13612565445026,2.514659685863874,12,12,7,0,0,0,0
2021-07-12 13:00:00+05:30,570.1570680628272,8.6,2.8384816753926705,11.0,34.031413612565444,2.514921465968586,13,12,7,0,0,0,0
2021-07-12 14:00:00+05:30,569.6335078534031,8.6,2.86020942408377,11.0,33.92670157068063,2.5151832460732986,14,12,7,0,0,0,0
2021-07-12 15:00:00+05:30,569.109947643979,8.6,2.8819371727748693,11.0,33.82198952879581,2.5154450261780106,15,12,7,0,0,0,0
2021-07-12 16:00:00+05:30,568.5863874345549,8.6,2.903664921465969,11.0,33.717277486910994,2.5157068062827226,16,12,7,0,0,0,0
2021-07-12 17:00:00+05:30,568.0628272251308,8.6,2.925392670157068,11.0,33.61256544502618,2.5159685863874346,17,12,7,0,0,0,0
2021-07-12 18:00:00+05:30,567.5392670157069,8.6,2.947120418848168,11.0,33.50785340314136,2.5162303664921466,18,12,7,0,0,0,0
2021-07-12 19:00:00+05:30,567.0157068062828,8.6,2.9688481675392677,11.0,33.403141361256544,2.5164921465968586,19,12,7,0,0,0,0
2021-07-12 20:00:00+05:30,566.4921465968587,8.6,2.990575916230367,11.0,33.29842931937173,2.5167539267015706,20,12,7,0,0,0,0
2021-07-12 21:00:00+05:30,565.9685863874346,8.6,3.0123036649214665,11.0,33.19371727748691,2.5170157068062826,21,12,7,0,0,0,0
2021-07-12 22:00:00+05:30,565.4450261780105,8.6,3.0340314136125657,11.0,33.089005235602095,2.5172774869109946,22,12,7,0,0,0,0
2021-07-12 23:00:00+05:30,564.9214659685864,8.6,3.0557591623036653,11.0,32.98429319371728,2.517539267015706,23,12,7,0,0,0,0
2021-07-13 00:00:00+05:30,564.3979057591623,8.6,3.0774869109947645,11.0,32.87958115183246,2.517801047120418,0,13,7,1,0,0,0
2021-07-13 01:00:00+05:30,563.8743455497382,8.6,3.099214659685864,11.0,32.774869109947645,2.51806282722513,1,13,7,1,0,0,0
2021-07-13 02:00:00+05:30,563.3507853403141,8.6,3.120942408376964,11.0,32.67015706806283,2.518324607329843,2,13,7,1,0,0,0
2021-07-13 03:00:00+05:30,562.82722513089,8.6,3.1426701570680637,11.0,32.56544502617801,2.518586387434555,3,13,7,1,0,0,0
2021-07-13 04:00:00+05:30,562.303664921466,8.6,3.164397905759163,11.0,32.460732984293195,2.518848167539267,4,13,7,1,0,0,0
2021-07-13 05:00:00+05:30,561.7801047120419,8.6,3.186125654450262,11.0,32.35602094240838,2.519109947643979,5,13,7,1,0,0,0
2021-07-13 06:00:00+05:30,561.2565445026178,8.6,3.207853403141361,11.0,32.25130890052356,2.519371727748691,6,13,7,1,0,0,0
2021-07-13 07:00:00+05:30,560.7329842931937,8.6,3.229581151832461,11.0,32.146596858638745,2.519633507853403,7,13,7,1,0,0,0
2021-07-13 08:00:00+05:30,560.2094240837696,8.6,3.2513089005235605,11.0,32.04188481675393,2.519895287958115,8,13,7,1,0,0,0
2021-07-13 09:00:00+05:30,559.6858638743455,8.6,3.27303664921466,11.0,31.93717277486911,2.520157068062827,9,13,7,1,0,0,0
2021-07-13 10:00:00+05:30,559.1623036649214,8.6,3.29476439790576,11.0,31.83246073298429,2.520418848167539,10,13,7,1,0,0,0
2021-07-13 11:00:00+05:30,558.6387434554974,8.6,3.316492146596859,11.0,31.72774869109948,2.520680628272251,11,13,7,1,0,0,0
2021-07-13 12:00:00+05:30,558.1151832460733,8.6,3.3382198952879585,11.0,31.62303664921466,2.520942408376963,12,13,7,1,0,0,0
2021-07-13 13:00:00+05:30,557.5916230366493,8.6,3.3599476439790577,11.0,31.518324607329845,2.521204188481675,13,13,7,1,0,0,0
2021-07-13 14:00:00+05:30,557.0680628272252,8.6,3.3816753926701573,11.0,31.41361256544503,2.521465968586387,14,13,7,1,0,0,0
2021-07-13 15:00:00+05:30,556.5445026178011,8.6,3.403403141361257,11.0,31.30890052356021,2.5217277486911,15,13,7,1,0,0,0
2021-07-13 16:00:00+05:30,556.020942408377,8.6,3.4251308900523565,11.0,31.204188481675395,2.521989528795812,16,13,7,1,0,0,0
2021-07-13 17:00:00+05:30,555.4973821989529,8.6,3.446858638743456,11.0,31.09947643979058,2.522251308900524,17,13,7,1,0,0,0
2021-07-13 18:00:00+05:30,554.9738219895288,8.6,3.4685863874345557,11.0,30.99476439790576,2.522513089005236,18,13,7,1,0,0,0
2021-07-13 19:00:00+05:30,554.4502617801047,8.6,3.490314136125655,11.0,30.890052356020945,2.522774869109948,19,13,7,1,0,0,0
2021-07-13 20:00:00+05:30,553.9267015706806,8.6,3.512041884816754,11.0,30.78534031413613,2.52303664921466,20,13,7,1,0,0,0
2021-07-13 21:00:00+05:30,553.4031413612565,8.6,3.5337696335078537,11.0,30.68062827225131,2.523298429319372,21,13,7,1,0,0,0
2021-07-13 22:00:00+05:30,552.8795811518324,8.6,3.5554973821989533,11.0,30.57591623036649,2.523560209424084,22,13,7,1,0,0,0
2021-07-13 23:00:00+05:30,552.3560209424083,8.6,3.577225130890053,11.0,30.47120418848168,2.523821989528796,23,13,7,1,0,0,0
2021-07-14 00:00:00+05:30,551.8324607329843,8.6,3.5989528795811525,11.0,30.366492146596865,2.524083769633508,0,14,7,2,0,0,0
2021-07-14 01:00:00+05:30,551.3089005235602,8.6,3.620680628272252,11.0,30.261780104712045,2.52434554973822,1,14,7,2,0,0,0
2021-07-14 02:00:00+05:30,550.7853403141361,8.6,3.6424083769633513,11.0,30.15706806282723,2.524607329842932,2,14,7,2,0,0,0
2021-07-14 03:00:00+05:30,550.261780104712,8.6,3.6641361256544505,11.0,30.05235602094241,2.524869109947644,3,14,7,2,0,0,0
2021-07-14 04:00:00+05:30,549.738219895288,8.6,3.68586387434555,11.0,29.94764397905759,2.525130890052356,4,14,7,2,0,0,0
2021-07-14 05:00:00+05:30,549.2146596858639,8.6,3.7075916230366497,11.0,29.84293193717277,2.525392670157068,5,14,7,2,0,0,0
2021-07-14 06:00:00+05:30,548.6910994764398,8.6,3.729319371727749,11.0,29.73821989528796,2.52565445026178,6,14,7,2,0,0,0
2021-07-14 07:00:00+05:30,548.1675392670157,8.6,3.751047120418849,11.0,29.63350785340314,2.525916230366492,7,14,7,2,0,0,0
2021-07-14 08:00:00+05:30,547.6439790575917,8.6,3.772774869109948,11.0,29.528795811518325,2.526178010471204,8,14,7,2,0,0,0
2021-07-14 09:00:00+05:30,547.1204188481676,8.6,3.794502617801048,11.0,29.42408376963351,2.526439790575916,9,14,7,2,0,0,0
2021-07-14 10:00:00+05:30,546.5968586387435,8.6,3.816230366492147,11.0,29.31937172774869,2.526701570680628,10,14,7,2,0,0,0
2021-07-14 11:00:00+05:30,546.0732984293194,8.6,3.8379581151832474,11.0,29.214659685863875,2.52696335078534,11,14,7,2,0,0,0
2021-07-14 12:00:00+05:30,545.5497382198953,8.6,3.859685863874346,11.0,29.10994764397906,2.527225130890052,12,14,7,2,0,0,0
2021-07-14 13:00:00+05:30,545.0261780104712,8.6,3.881413612565445,11.0,29.00523560209424,2.527486910994764,13,14,7,2,0,0,0
2021-07-14 14:00:00+05:30,544.5026178010471,8.6,3.903141361256545,11.0,28.900523560209425,2.527748691099476,14,14,7,2,0,0,0
2021-07-14 15:00:00+05:30,543.979057591623,8.6,3.924869109947645,11.0,28.79581151832461,2.528010471204188,15,14,7,2,0,0,0
2021-07-14 16:00:00+05:30,543.4554973821989,8.6,3.946596858638744,11.0,28.691099476439792,2.5282722513089,16,14,7,2,0,0,0
2021-07-14 17:00:00+05:30,542.9319371727748,8.6,3.9683246073298433,11.0,28.58638743455497,2.5285340314136127,17,14,7,2,0,0,0
2021-07-14 18:00:00+05:30,542.4083769633507,8.6,3.990052356020943,11.0,28.48167539267016,2.5287958115183247,18,14,7,2,0,0,0
2021-07-14 19:00:00+05:30,541.8848167539267,8.6,4.0117801047120425,11.0,28.376963350785346,2.5290575916230367,19,14,7,2,0,0,0
2021-07-14 20:00:00+05:30,541.3612565445026,8.6,4.033507853403142,11.0,28.272251308900525,2.5293193717277487,20,14,7,2,0,0,0
2021-07-14 21:00:00+05:30,540.8376963350785,8.6,4.055235602094241,11.0,28.16753926701571,2.5295811518324607,21,14,7,2,0,0,0
2021-07-14 22:00:00+05:30,540.3141361256544,8.6,4.076963350785341,11.0,28.06282722513089,2.5298429319371727,22,14,7,2,0,0,0
2021-07-14 23:00:00+05:30,539.7905759162304,8.6,4.09869109947644,11.0,27.958115183246072,2.5301047120418847,23,14,7,2,0,0,0
2021-07-15 00:00:00+05:30,539.2670157068063,8.6,4.12041884816754,11.0,27.85340314136125,2.5303664921465967,0,15,7,3,0,0,0
2021-07-15 01:00:00+05:30,538.7434554973822,8.6,4.142146596858639,11.0,27.74869109947644,2.5306282722513087,1,15,7,3,0,0,0
2021-07-15 02:00:00+05:30,538.2198952879581,8.6,4.163874345549738,11.0,27.643979057591626,2.5308900523560207,2,15,7,3,0,0,0
2021-07-15 03:00:00+05:30,537.696335078534,8.6,4.185602094240839,11.0,27.539267015706805,2.5311518324607327,3,15,7,3,0,0,0
2021-07-15 04:00:00+05:30,537.17277486911,8.6,4.207329842931937,11.0,27.43455497382199,2.5314136125654447,4,15,7,3,0,0,0
2021-07-15 05:00:00+05:30,536.6492146596859,8.6,4.229057591623038,11.0,27.32984293193717,2.531675392670157,5,15,7,3,0,0,0
2021-07-15 06:00:00+05:30,536.1256544502618,8.6,4.2507853403141365,11.0,27.225130890052355,2.531937172774869,6,15,7,3,0,0,0
